HOME_TEAM_HOME_WINS,HOME_TEAM_HOME_LOSES,HOME_TEAM_ROAD_WINS,HOME_TEAM_ROAD_LOSES,AWAY_TEAM_HOME_WINS,AWAY_TEAM_HOME_LOSES,AWAY_TEAM_ROAD_WINS,AWAY_TEAM_ROAD_LOSES,HOME_TEAM_FORM,AWAY_TEAM_FORM,HOME_TEAM_RAPTOR,AWAY_TEAM_RAPTOR,HOME_TEAM_WINS
8,1,4,8,9,2,9,1,1,2,1578.3139785930402,1630.45701395034,0
4,7,2,8,5,7,4,4,0,1,1400.02058611133,1526.6167842911402,0
3,8,1,9,8,3,5,2,0,1,1243.66721139954,1641.5712190839402,0
9,1,6,4,8,2,5,5,2,2,1688.32481181461,1731.850002668,0
3,5,3,8,10,0,5,6,0,3,1376.5403003338502,1633.0375535041599,1
8,0,7,5,8,3,6,2,2,1,1558.22484676518,1642.90667936017,1
4,7,4,7,2,7,2,12,2,0,1326.2042319664301,1363.98828150518,0
5,6,4,8,6,4,5,6,1,2,1331.94622327993,1391.8795043000198,0
3,8,2,7,8,4,2,7,0,3,1371.1130706939,1456.56458675278,0
6,5,2,9,9,2,5,5,2,2,1451.5581707502402,1509.83292238535,1
8,0,7,6,4,5,3,8,2,1,1523.24071685189,1398.33674103552,1
9,1,10,2,13,1,3,5,3,2,1664.05422193832,1699.3403466749498,1
6,5,2,7,3,7,7,3,2,1,1536.28749977344,1540.4233364550198,1
4,4,5,9,9,2,10,1,2,2,1505.22916432222,1649.5666919760401,0
6,6,2,8,5,4,3,8,2,1,1387.06159907279,1463.4930682598301,1
7,4,8,2,4,8,2,8,3,0,1626.82958314676,1497.48947397233,1
8,2,6,5,5,7,5,4,2,2,1739.5772829542402,1538.56271026492,1
3,9,1,9,9,2,5,6,0,2,1256.76214932795,1512.75814148475,0
10,0,5,7,3,9,2,7,2,0,1621.55865690212,1391.99362991056,1
8,2,4,8,3,10,3,5,0,1,1597.2993318864098,1414.93082981334,1
6,4,6,6,8,3,6,3,2,1,1378.69258218393,1653.82748309197,1
5,7,4,8,3,8,2,9,1,1,1335.5942530033901,1396.7376582112302,0
8,4,8,2,5,4,3,9,3,0,1626.9828180301902,1455.16222726719,0
9,2,11,1,3,7,7,4,3,0,1655.6541580636901,1541.904759427,1
9,0,7,6,4,8,4,7,2,2,1539.8810800738502,1339.62733974591,1
11,0,5,7,9,2,6,4,2,1,1632.38577473085,1695.0052614292401,1
4,5,5,9,7,5,2,7,1,2,1488.1422929925197,1509.1653075278698,0
4,5,3,9,13,1,3,6,1,2,1467.93952995883,1697.8262753357599,0
9,0,7,5,3,9,2,8,3,0,1604.8594449253399,1392.7816350065698,1
4,8,4,8,9,2,6,5,1,0,1380.7126454526199,1701.24625762249,0
2,7,3,12,3,10,3,6,1,0,1352.71619785975,1435.2163974488699,0
9,2,6,5,5,4,4,9,2,1,1740.4098836251599,1478.99846867898,0
9,2,6,6,13,1,4,6,2,2,1494.93834701064,1563.33413874144,0
10,1,10,2,8,4,3,7,3,3,1710.0358511617,1434.77875376359,1
4,8,2,9,7,5,2,9,0,2,1478.24599315938,1471.38131732491,0
5,7,5,5,3,7,7,5,1,0,1525.1801490727403,1526.58887878262,1
9,2,4,8,7,5,3,7,1,2,1599.7214193478699,1428.3706515867902,0
5,8,4,8,4,6,3,9,1,1,1322.4870755183902,1458.8498290650302,1
10,0,7,6,3,8,3,9,2,2,1477.11843774094,1384.94794485504,1
12,0,5,7,8,3,6,4,2,1,1646.74581660111,1638.9424739793399,1
4,6,5,9,3,10,1,9,1,0,1492.56409559897,1279.0974939830198,1
7,4,6,6,6,8,4,8,3,1,1449.48547674211,1319.20751643451,0
4,9,4,8,3,8,3,10,0,1,1386.09224826921,1390.61557599637,1
3,9,2,9,9,3,6,5,0,2,1388.4550947263501,1751.2519645263699,0
2,8,3,12,3,10,1,10,1,0,1345.9346275350501,1266.61166379881,0
9,3,6,6,10,0,7,5,1,3,1494.33544779905,1598.095743289,1
11,1,10,2,4,9,2,9,3,0,1715.4508372296698,1493.9176931604002,1
3,7,7,6,9,3,4,8,0,1,1534.92739112035,1599.67413072023,0
8,4,3,8,10,2,11,1,2,3,1448.91402965414,1660.79189995763,0
6,7,5,5,3,10,4,6,2,1,1527.1818747940802,1422.65785208925,0
5,4,5,9,7,5,4,7,2,3,1500.17364332281,1447.45732054909,1
9,2,7,5,13,1,5,6,1,2,1694.50981044084,1580.47452620972,0
10,0,7,6,13,0,5,7,2,3,1544.3725622938198,1606.9563075785502,0
8,3,6,5,5,6,5,9,0,1,1597.86883264506,1489.8199879903,1
7,5,3,9,8,5,8,2,2,2,1428.13465811992,1584.51181542417,0
7,6,2,8,3,10,2,9,2,0,1410.1452484493698,1389.4407124214001,0
3,8,3,11,10,3,6,6,1,2,1373.95309384408,1508.34856424706,0
5,9,4,8,6,8,5,8,1,2,1274.2428275469001,1309.47702986343,0
3,10,5,6,12,1,10,2,2,3,1434.8471761429098,1609.9434331370599,0
11,0,7,6,10,2,12,1,3,3,1465.30531647716,1549.52650572151,0
3,8,7,6,13,1,6,6,0,3,1542.5003672025698,1661.9670492835598,0
8,5,3,8,9,3,7,5,1,2,1466.6061926968398,1743.04462110931,0
13,0,6,7,4,9,2,10,3,0,1637.13930242677,1455.0847410194199,1
6,4,5,9,3,10,2,10,3,1,1495.28997800194,1254.27993467801,0
9,3,5,8,2,9,3,12,2,1,1551.44218156079,1314.1627963976,1
5,10,4,8,13,1,7,6,1,3,1371.17249979742,1708.88287005358,1
8,5,9,2,11,1,7,6,2,2,1575.85356802443,1520.82248912664,0
9,3,6,5,7,5,4,8,1,2,1622.9679117823498,1494.96163596525,1
9,3,8,5,7,6,3,9,2,2,1732.50144483703,1446.78842374617,0
3,11,5,6,4,6,3,10,2,0,1457.4380060726098,1396.39923944285,1
12,1,11,2,3,10,3,9,3,1,1632.7765390362197,1375.58477447047,1
6,8,5,5,7,7,2,8,1,2,1508.8673206479502,1386.49775518964,0
9,3,7,5,7,5,6,6,1,2,1689.53930837267,1463.01665859535,1
3,9,3,11,10,2,13,1,0,3,1387.6536643464901,1705.88223548762,0
7,5,6,7,14,0,6,7,1,3,1400.8438387116,1540.7396032501001,1
10,3,6,5,3,10,3,10,2,2,1624.8396217435002,1271.02429362187,1
