date,home_team,home_team_id,home_team_score,away_team,away_team_id,away_team_score,is_home_winner,home_team_wins,home_team_loses,home_team_points_per_game,home_team_points_against_per_game,away_team_wins,away_team_loses,away_team_points_per_game,away_team_points_against_per_game
2019-11-08,Atlanta,1610612737,109,Sacramento,1610612758,121,0,3,4,88.775,90.875,2,6,90.95555555555556,98.48888888888888
2019-11-08,Dallas,1610612742,102,New York,1610612752,106,0,5,2,99.85,96.35,1,7,87.82222222222222,97.06666666666666
2019-11-08,Denver,1610612743,100,Philadelphia,1610612755,97,1,5,2,90.3,87.475,5,2,97.475,92.8
2019-11-08,Indiana,1610612754,112,Detroit,1610612765,106,1,4,4,95.85555555555555,93.52222222222221,4,5,96.9,99.1
2019-11-08,LA Lakers,1610612747,95,Miami,1610612748,80,1,6,1,96.125,87.5,6,2,101.21111111111111,93.84444444444445
2019-11-08,Minnesota,1610612750,125,Golden State,1610612744,119,1,4,3,101.175,102.925,2,6,98.37777777777778,107.01111111111112
2019-11-08,New Orleans,1610612740,104,Toronto,1610612761,122,0,1,6,103.4,107.75,5,2,99.25,94.1
2019-11-08,Orlando,1610612753,118,Memphis,1610612763,86,1,2,6,83.5888888888889,87.64444444444445,2,5,95.25,102.15
2019-11-08,Portland,1610612757,115,Brooklyn,1610612751,119,0,3,5,99.22222222222223,100.57777777777778,3,4,104.925,104.225
2019-11-08,Utah,1610612762,103,Milwaukee,1610612749,100,1,5,3,88.55555555555556,84.88888888888889,6,2,107.6888888888889,98.55555555555556
2019-11-08,Washington,1610612764,100,Cleveland,1610612739,113,0,2,5,99.9,102.375,2,5,91.875,97.1
2019-11-09,Chicago,1610612741,94,Houston,1610612745,117,0,3,6,95.0,97.3,5,3,106.09999999999998,107.25555555555555
2019-11-09,Charlotte,1610612766,110,New Orleans,1610612740,115,0,4,4,92.57777777777777,99.32222222222222,1,7,103.32222222222221,109.17777777777779
2019-11-09,Memphis,1610612763,122,Dallas,1610612742,138,0,2,6,94.14444444444445,103.76666666666665,5,3,99.96666666666667,97.34444444444445
2019-11-09,Oklahoma City,1610612760,114,Golden State,1610612744,108,1,3,5,92.33333333333333,90.8,2,7,100.3,108.7
2019-11-09,San Antonio,1610612759,115,Boston,1610612738,135,0,5,3,98.82222222222222,96.7,6,1,95.225,88.425
2019-11-10,LA Lakers,1610612747,104,Toronto,1610612761,113,0,7,1,95.84444444444445,86.54444444444444,6,2,101.64444444444445,95.14444444444445
2019-11-10,Minnesota,1610612750,98,Denver,1610612743,100,0,5,3,103.7111111111111,104.58888888888889,6,2,91.18888888888888,88.4111111111111
2019-11-10,New York,1610612752,87,Cleveland,1610612739,108,0,2,7,89.5,97.5,3,5,94.1,97.33333333333333
2019-11-10,Oklahoma City,1610612760,119,Milwaukee,1610612749,121,0,4,5,94.4,92.4,6,3,106.8,98.9
2019-11-10,Orlando,1610612753,102,Indiana,1610612754,109,0,3,6,86.9,87.4,5,4,97.4,94.7
2019-11-10,Philadelphia,1610612755,114,Charlotte,1610612766,106,1,5,3,97.33333333333333,93.42222222222223,4,5,94.2,100.8
2019-11-10,Phoenix,1610612756,138,Brooklyn,1610612751,112,1,5,3,100.46666666666667,95.55555555555556,4,4,106.35555555555555,105.36666666666666
2019-11-10,Portland,1610612757,124,Atlanta,1610612737,113,1,3,6,100.7,102.3,3,5,90.84444444444445,94.12222222222222
2019-11-11,Boston,1610612738,116,Dallas,1610612742,106,1,7,1,99.51111111111112,91.22222222222223,6,3,103.7,99.7
2019-11-11,Detroit,1610612765,114,Minnesota,1610612750,120,0,4,6,97.63636363636364,100.19090909090909,5,4,103.0,104.0
2019-11-11,Golden State,1610612744,108,Utah,1610612762,122,0,2,8,100.88181818181819,109.10909090909091,6,3,89.9,86.3
2019-11-11,LA Clippers,1610612746,98,Toronto,1610612761,88,1,6,3,101.1,97.1,7,2,102.7,95.9
2019-11-11,New Orleans,1610612740,116,Houston,1610612745,122,0,2,7,104.4,109.2,6,3,107.1,105.8
2019-11-11,San Antonio,1610612759,109,Memphis,1610612763,113,0,5,4,100.3,100.4,2,7,96.8,107.1
2019-11-12,Chicago,1610612741,120,New York,1610612752,102,1,3,7,94.7909090909091,99.02727272727272,2,8,89.22727272727273,98.39090909090909
2019-11-12,Denver,1610612743,121,Atlanta,1610612737,125,0,7,2,92.0,89.3,3,6,93.0,97.0
2019-11-12,Indiana,1610612754,111,Oklahoma City,1610612760,85,1,6,4,98.4090909090909,95.27272727272727,4,6,96.57272727272726,94.9090909090909
2019-11-12,Miami,1610612748,117,Detroit,1610612765,108,1,6,3,99.0,93.9,4,7,98.90000000000002,101.75
2019-11-12,Philadelphia,1610612755,98,Cleveland,1610612739,97,1,6,3,98.9,94.6,4,5,95.4,96.2
2019-11-12,Phoenix,1610612756,115,LA Lakers,1610612747,123,0,6,3,104.1,97.1,7,2,96.6,89.1
2019-11-12,Sacramento,1610612758,107,Portland,1610612757,99,1,3,6,93.9,99.4,4,6,102.7,103.17272727272729
2019-11-12,Utah,1610612762,119,Brooklyn,1610612751,114,1,7,3,92.68181818181819,88.13636363636364,4,5,106.8,108.5
2019-11-13,Boston,1610612738,140,Washington,1610612764,133,1,8,1,101.1,92.6,2,6,99.82222222222221,103.44444444444444
2019-11-13,Charlotte,1610612766,117,Memphis,1610612763,119,0,4,6,95.16363636363636,101.88181818181819,3,7,98.18181818181819,107.16363636363636
2019-11-13,Houston,1610612745,102,LA Clippers,1610612746,93,1,7,3,108.32727272727271,106.64545454545454,7,3,100.74545454545455,96.22727272727273
2019-11-13,LA Lakers,1610612747,120,Golden State,1610612744,94,1,8,2,98.89090909090909,91.35454545454546,2,9,101.46666666666665,110.09999999999998
2019-11-13,Minnesota,1610612750,129,San Antonio,1610612759,114,1,6,4,104.47272727272728,104.83636363636364,5,5,101.03636363636365,101.47272727272728
2019-11-13,Orlando,1610612753,112,Philadelphia,1610612755,97,1,3,7,88.21818181818183,89.28181818181817,7,3,98.68181818181819,94.71818181818183
2019-11-13,Portland,1610612757,106,Toronto,1610612761,114,0,4,7,102.36666666666667,103.40000000000002,7,3,101.23636363636363,95.96363636363635
2019-11-14,Cleveland,1610612739,97,Miami,1610612748,108,0,4,6,95.48181818181818,96.28181818181817,7,3,100.58181818181819,95.08181818181819
2019-11-14,Denver,1610612743,101,Brooklyn,1610612751,93,1,7,3,94.51818181818182,92.44545454545455,4,6,107.34545454545454,109.31818181818181
2019-11-14,Milwaukee,1610612749,124,Chicago,1610612741,115,1,7,3,108.02727272727272,100.64545454545454,4,7,96.81666666666668,99.16666666666667
2019-11-14,New Orleans,1610612740,132,LA Clippers,1610612746,127,1,2,8,105.4,110.25454545454545,7,4,100.01666666666665,96.59999999999998
2019-11-14,New York,1610612752,106,Dallas,1610612742,103,1,2,9,90.16666666666667,100.11666666666667,6,4,103.83636363636364,101.06363636363636
2019-11-14,Phoenix,1610612756,128,Atlanta,1610612737,112,1,6,4,104.96363636363635,99.31818181818181,4,6,95.81818181818181,99.06363636363636
2019-11-15,Charlotte,1610612766,109,Detroit,1610612765,106,1,4,7,96.91666666666667,103.26666666666665,4,8,99.54615384615386,102.81538461538463
