HOME_TEAM_HOME_WINS,HOME_TEAM_ROAD_WINS,AWAY_TEAM_HOME_WINS,AWAY_TEAM_ROAD_WINS,HOME_TEAM_RATING,AWAY_TEAM_RATING,HOME_TEAM_PPG,HOME_TEAM_PAPG,AWAY_TEAM_PPG,AWAY_TEAM_PAPG,HOME_TEAM_WINS
0.333,0.25,0.833,0.75,0.23333333333333328,0.7666666666666666,106,112,117,98,0
0.667,0.5,0.5,0.4,1.0,0.5,99,92,103,98,1
0.333,0.667,0.5,0.5,0.1333333333333333,0.7333333333333334,94,86,92,103,1
0.8,0.6,0.5,0.5,0.30000000000000004,0.9,102,92,93,97,1
0.6,0.4,0.75,0.667,0.8333333333333334,0.6333333333333333,96,92,102,95,1
0.2,0.6,0.2,0.5,0.4,0.19999999999999996,100,101,106,113,1
0.6,0.4,0.5,0.5,0.9666666666666667,0.6,111,108,102,98,1
0.6,0.6,0.6,0.75,0.8,0.2666666666666667,103,99,95,92,0
0.667,0.833,0.25,0.8,0.43333333333333335,0.4666666666666667,103,98,98,96,0
0.25,0.5,0.5,0.6,0.3666666666666667,0.8,97,103,103,102,1
0.833,0.8,0.6,0.8,0.7666666666666666,0.2666666666666667,115,97,99,94,1
0.5,0.4,0.4,0.5,0.9,0.09999999999999998,94,97,103,102,1
0.667,0.5,0.5,0.429,0.9333333333333333,0.7333333333333334,107,103,90,101,1
0.2,0.2,0.667,0.4,0.06666666666666665,0.6666666666666667,92,103,100,101,0
0.286,0.25,0.75,0.5,0.23333333333333328,1.0,105,111,101,92,0
0.833,0.6,0.5,0.667,0.30000000000000004,0.1333333333333333,102,92,93,85,1
0.667,0.4,0.2,0.4,0.8333333333333334,0.19999999999999996,96,90,104,110,1
0.5,0.6,0.5,0.333,0.033333333333333326,0.16666666666666663,97,101,103,100,0
0.25,0.833,0.5,0.333,0.4666666666666667,0.5,101,98,102,101,0
0.2,0.2,0.4,0.6,0.33333333333333337,0.7,102,114,99,100,1
0.75,0.571,0.333,0.6,0.6333333333333333,0.4,99,95,100,100,0
0.5,0.5,0.667,0.4,0.5333333333333333,0.9666666666666667,102,108,113,107,0
0.571,0.833,0.333,0.2,0.43333333333333335,0.33333333333333337,104,100,105,113,1
0.5,0.5,0.571,0.4,0.16666666666666663,0.9,102,97,94,95,0
0.5,0.429,0.333,0.667,0.5,0.4,102,100,101,101,1
0.4,0.5,0.714,0.5,0.7,0.9333333333333333,99,102,105,101,1
