date,home_team,home_team_id,home_team_score,away_team,away_team_id,away_team_score,is_home_winner,home_team_wins,home_team_loses,home_team_points_per_game,home_team_points_against_per_game,away_team_wins,away_team_loses,away_team_points_per_game,away_team_points_against_per_game
2018-11-12,Washington,14,117,Orlando,15,109,1,3,9,101.0,109.11538461538461,6,7,95.11428571428573,99.34285714285714
2018-11-13,Cleveland,6,113,Charlotte,13,89,1,1,11,94.3076923076923,103.35384615384616,7,6,107.24285714285713,100.32857142857144
2018-11-13,Denver,19,99,Houston,29,109,0,9,4,101.02857142857142,95.11428571428573,5,7,93.81538461538463,98.08461538461539
2018-11-13,Golden State,21,110,Atlanta,12,103,1,11,3,112.36666666666666,103.13333333333334,3,10,100.54285714285716,108.84285714285714
2018-11-14,Boston,2,111,Chicago,9,82,1,7,6,96.67142857142856,95.04285714285716,4,10,97.83333333333333,103.9
2018-11-14,Brooklyn,4,107,Miami,11,120,0,6,8,100.86666666666666,101.7,5,8,101.92857142857143,102.65714285714286
2018-11-14,Dallas,27,118,Utah,18,68,1,5,8,101.27142857142857,103.44285714285715,7,6,101.54285714285716,99.47142857142858
2018-11-14,LA Lakers,25,126,Portland,17,117,1,7,6,106.9,106.24285714285713,10,3,106.54285714285716,97.6
2018-11-14,Milwaukee,10,113,Memphis,28,116,0,10,3,111.92857142857143,100.8142857142857,7,5,92.97692307692309,91.9076923076923
2018-11-14,Minnesota,20,107,New Orleans,30,100,1,5,9,102.76666666666667,108.53333333333333,7,6,108.85714285714286,107.15714285714286
2018-11-14,Oklahoma City,16,128,New York,3,103,1,8,5,100.85714285714286,97.54285714285716,4,10,98.23333333333333,103.16666666666667
2018-11-14,Orlando,15,111,Philadelphia,5,106,1,6,8,96.0,100.43333333333334,9,6,104.675,104.8625
2018-11-14,Phoenix,24,116,San Antonio,26,96,1,2,11,92.91428571428571,105.54285714285716,7,5,99.31538461538463,98.27692307692308
2018-11-14,Toronto,1,104,Detroit,8,106,0,12,2,108.56666666666666,101.03333333333333,6,6,100.64615384615384,101.70000000000002
2018-11-14,Washington,14,119,Cleveland,6,95,1,4,9,102.1,109.11428571428573,2,11,95.61428571428573,102.3
2018-11-15,Denver,19,138,Atlanta,12,93,1,9,5,100.9,96.0,3,11,100.6,108.9
2018-11-15,Houston,29,107,Golden State,21,86,1,6,7,94.75714285714287,98.05714285714285,12,3,112.225,103.1125
2018-11-15,LA Clippers,22,116,San Antonio,26,111,1,8,5,107.3142857142857,102.97142857142858,7,6,98.97142857142858,99.51428571428572
2018-11-16,Boston,2,123,Toronto,1,116,1,8,6,97.5,94.16666666666667,12,3,108.15,101.3125
2018-11-16,Indiana,7,99,Miami,11,91,1,8,6,97.7,95.13333333333334,6,8,103.03333333333333,102.9
2018-11-16,Memphis,28,112,Sacramento,23,104,1,8,5,94.6,93.37142857142858,8,6,105.86666666666666,106.83333333333333
2018-11-16,Milwaukee,10,123,Chicago,9,104,1,10,4,111.9,101.76666666666667,4,11,96.8,104.2125
2018-11-16,Minnesota,20,112,Portland,17,96,1,6,9,103.0,107.9,10,4,107.2,99.43333333333334
2018-11-16,New Orleans,30,129,New York,3,124,1,7,7,108.2,107.03333333333333,4,11,98.55,104.6375
2018-11-16,Philadelphia,5,113,Utah,18,107,1,9,7,104.7529411764706,105.20588235294117,7,7,99.16666666666667,100.66666666666667
2018-11-16,Washington,14,104,Brooklyn,4,115,0,5,9,103.16666666666667,108.03333333333333,6,9,101.2125,102.8
2018-11-17,Boston,2,86,Utah,18,98,0,9,6,99.025,95.475,7,8,99.675,101.425
2018-11-17,Brooklyn,4,119,LA Clippers,22,127,0,7,9,101.9,102.82941176470588,9,5,107.83333333333333,103.46666666666667
2018-11-17,Chicago,9,83,Toronto,1,122,0,4,12,97.21764705882352,105.32352941176471,12,4,108.62352941176471,102.51764705882354
2018-11-17,Charlotte,13,119,Philadelphia,5,122,0,7,7,105.96666666666667,101.16666666666667,10,7,105.12222222222222,105.18888888888888
2018-11-17,Dallas,27,112,Golden State,21,109,1,6,8,102.33333333333333,101.03333333333333,12,4,110.58823529411765,103.21176470588235
2018-11-17,Houston,29,132,Sacramento,23,112,1,7,7,95.5,97.23333333333333,8,7,105.7,107.05
